item,condition,environment,recon_L12,recon_L14,recon_L16,recon_L18,recon_all_inv,ablate_L12_F56118_unlic,ablate_L14_F33172_unlic,ablate_L16_F44439_unlic,ablate_L18_F30313_unlic,ablate_INV_COMBINED,effect_L12_F56118_unlic,effect_L14_F33172_unlic,effect_L16_F44439_unlic,effect_L18_F30313_unlic,effect_INV_COMBINED
15,B,sentential_negation,-8.94565200805664,-8.222593307495117,-8.98207950592041,-8.474337577819824,-6.883136749267578,-8.94565200805664,-8.222593307495117,-8.98207950592041,-8.474337577819824,-6.883136749267578,0.0,0.0,0.0,0.0,0.0
15,C,sentential_negation,-7.970117092132568,-8.295764923095703,-7.4449591636657715,-7.861617565155029,-7.040530204772949,-8.699174880981445,-8.852800369262695,-7.9851603507995605,-8.052092552185059,-7.447005271911621,0.729057788848877,0.5570354461669922,0.5402011871337891,0.1904749870300293,0.4064750671386719
16,A,sentential_negation,-3.856827735900879,-3.5537400245666504,-3.6611151695251465,-3.8821606636047363,-3.1154873371124268,-3.856827735900879,-3.5537400245666504,-3.6611151695251465,-3.8821606636047363,-3.1154873371124268,0.0,0.0,0.0,0.0,0.0
16,B,sentential_negation,-9.588480949401855,-9.315369606018066,-9.59731674194336,-11.090328216552734,-7.0186333656311035,-9.588480949401855,-9.315369606018066,-9.59731674194336,-11.090328216552734,-7.0186333656311035,0.0,0.0,0.0,0.0,0.0
16,C,sentential_negation,-10.730918884277344,-9.590768814086914,-10.454048156738281,-9.960652351379395,-7.2726640701293945,-10.730918884277344,-9.590768814086914,-10.454048156738281,-9.960652351379395,-7.2726640701293945,0.0,0.0,0.0,0.0,0.0
17,A,sentential_negation,-1.9896891117095947,-2.0014395713806152,-1.921221137046814,-1.705923080444336,-2.8185672760009766,-1.9896891117095947,-2.0014395713806152,-1.921221137046814,-1.705923080444336,-2.8185672760009766,0.0,0.0,0.0,0.0,0.0
17,B,sentential_negation,-8.818052291870117,-9.51818561553955,-8.078536987304688,-8.968424797058105,-8.520764350891113,-8.818052291870117,-9.51818561553955,-8.078536987304688,-8.968424797058105,-8.520764350891113,0.0,0.0,0.0,0.0,0.0
17,C,sentential_negation,-4.573179244995117,-4.812867164611816,-6.057731628417969,-5.171310901641846,-6.054699897766113,-6.484993934631348,-5.337558746337891,-6.81724739074707,-5.653369426727295,-7.003866195678711,1.9118146896362305,0.5246915817260742,0.7595157623291016,0.4820585250854492,0.9491662979125977
18,A,sentential_negation,-1.1965728998184204,-1.295271873474121,-1.225864052772522,-1.1396796703338623,-1.6376631259918213,-1.1965728998184204,-1.295271873474121,-1.225864052772522,-1.1396796703338623,-1.6376631259918213,0.0,0.0,0.0,0.0,0.0
18,B,sentential_negation,-7.971783638000488,-8.065539360046387,-7.867827892303467,-8.524946212768555,-6.425911903381348,-7.971783638000488,-8.065539360046387,-7.867827892303467,-8.524946212768555,-6.425911903381348,0.0,0.0,0.0,0.0,0.0
18,C,sentential_negation,-6.6192779541015625,-6.852972030639648,-6.692846298217773,-6.330567359924316,-6.663390636444092,-9.401775360107422,-8.73631763458252,-7.603634834289551,-6.560210227966309,-7.26603889465332,2.7824974060058594,1.883345603942871,0.9107885360717773,0.2296428680419922,0.6026482582092285
19,A,sentential_negation,-1.6904823780059814,-1.6945446729660034,-1.5726866722106934,-1.4948902130126953,-1.8334307670593262,-1.6904823780059814,-1.6945446729660034,-1.5726866722106934,-1.4948902130126953,-1.8334307670593262,0.0,0.0,0.0,0.0,0.0
19,B,sentential_negation,-7.446806907653809,-7.905621528625488,-7.071054458618164,-6.359352111816406,-7.122532367706299,-7.446806907653809,-7.905621528625488,-7.071054458618164,-6.359352111816406,-7.122532367706299,0.0,0.0,0.0,0.0,0.0
19,C,sentential_negation,-8.857719421386719,-7.901484966278076,-7.426609992980957,-8.393293380737305,-6.315739631652832,-9.562950134277344,-8.31325912475586,-7.7977824211120605,-8.25259017944336,-7.469873428344727,0.705230712890625,0.4117741584777832,0.3711724281311035,-0.1407032012939453,1.1541337966918945
20,A,sentential_negation,-1.8678456544876099,-1.9700405597686768,-1.9775328636169434,-2.202561616897583,-2.2756619453430176,-1.8678456544876099,-1.9700405597686768,-1.9775328636169434,-2.202561616897583,-2.2756619453430176,0.0,0.0,0.0,0.0,0.0
20,B,sentential_negation,-5.623439788818359,-5.884840965270996,-4.930179595947266,-4.669159412384033,-5.517923355102539,-5.623439788818359,-5.884840965270996,-4.930179595947266,-4.669159412384033,-5.517923355102539,0.0,0.0,0.0,0.0,0.0
20,C,sentential_negation,-10.367829322814941,-10.288565635681152,-9.336527824401855,-8.655450820922852,-7.807827472686768,-10.367829322814941,-10.288565635681152,-9.336527824401855,-8.655450820922852,-7.807827472686768,0.0,0.0,0.0,0.0,0.0
21,A,sentential_negation,-2.196465253829956,-2.28446102142334,-2.3680925369262695,-2.3793187141418457,-2.867701292037964,-2.196465253829956,-2.28446102142334,-2.3680925369262695,-2.3793187141418457,-2.867701292037964,0.0,0.0,0.0,0.0,0.0
21,B,sentential_negation,-12.100475311279297,-12.956764221191406,-12.289660453796387,-12.47386646270752,-11.137825012207031,-12.100475311279297,-12.956764221191406,-12.289660453796387,-12.47386646270752,-11.137825012207031,0.0,0.0,0.0,0.0,0.0
21,C,sentential_negation,-9.81420612335205,-10.180675506591797,-9.977249145507812,-9.953059196472168,-8.08526611328125,-10.51516342163086,-10.566116333007812,-10.364824295043945,-9.94379711151123,-8.301562309265137,0.7009572982788086,0.3854408264160156,0.3875751495361328,-0.0092620849609375,0.21629619598388672
22,A,sentential_negation,-4.007017135620117,-3.9452736377716064,-3.865062713623047,-4.1534857749938965,-3.4485931396484375,-4.007017135620117,-3.9452736377716064,-3.865062713623047,-4.1534857749938965,-3.4485931396484375,0.0,0.0,0.0,0.0,0.0
22,B,sentential_negation,-7.89503812789917,-7.587285995483398,-7.775973320007324,-7.03190803527832,-6.480855941772461,-7.89503812789917,-7.587285995483398,-7.775973320007324,-7.03190803527832,-6.480855941772461,0.0,0.0,0.0,0.0,0.0
22,C,sentential_negation,-8.208905220031738,-8.163825988769531,-7.2163166999816895,-8.271249771118164,-8.33945369720459,-8.915364265441895,-8.370732307434082,-7.357956886291504,-8.1371431350708,-7.176368236541748,0.7064590454101562,0.20690631866455078,0.14164018630981445,-0.13410663604736328,-1.1630854606628418
23,A,sentential_negation,-0.5641317367553711,-0.6929616928100586,-0.531996488571167,-0.675486147403717,-1.1723175048828125,-0.5641317367553711,-0.6929616928100586,-0.531996488571167,-0.675486147403717,-1.1723175048828125,0.0,0.0,0.0,0.0,0.0
23,B,sentential_negation,-6.944674015045166,-6.29848051071167,-7.194553375244141,-6.959907531738281,-7.518551349639893,-6.944674015045166,-6.29848051071167,-7.194553375244141,-6.959907531738281,-7.518551349639893,0.0,0.0,0.0,0.0,0.0
23,C,sentential_negation,-10.00510311126709,-9.19924545288086,-9.262478828430176,-10.231756210327148,-9.0389404296875,-10.00510311126709,-9.19924545288086,-9.262478828430176,-10.231756210327148,-9.0389404296875,0.0,0.0,0.0,0.0,0.0
24,A,sentential_negation,-2.547837257385254,-2.6976852416992188,-2.3485171794891357,-2.7254133224487305,-2.322693347930908,-2.547837257385254,-2.6976852416992188,-2.3485171794891357,-2.7254133224487305,-2.322693347930908,0.0,0.0,0.0,0.0,0.0
24,B,sentential_negation,-8.055352210998535,-7.646191596984863,-8.003202438354492,-7.938520431518555,-6.337192535400391,-8.055352210998535,-7.646191596984863,-8.003202438354492,-7.938520431518555,-6.337192535400391,0.0,0.0,0.0,0.0,0.0
24,C,sentential_negation,-7.921453475952148,-8.034507751464844,-7.295623779296875,-8.25464153289795,-6.7691569328308105,-9.421258926391602,-9.156899452209473,-8.233987808227539,-8.557382583618164,-7.050328731536865,1.4998054504394531,1.122391700744629,0.9383640289306641,0.30274105072021484,0.2811717987060547
25,A,sentential_negation,-3.4628710746765137,-3.2992310523986816,-3.2010884284973145,-3.090656280517578,-3.0192503929138184,-3.4628710746765137,-3.2992310523986816,-3.2010884284973145,-3.090656280517578,-3.0192503929138184,0.0,0.0,0.0,0.0,0.0
25,B,sentential_negation,-6.9682207107543945,-6.825279712677002,-6.972140312194824,-6.827498912811279,-5.969626426696777,-6.9682207107543945,-6.825279712677002,-6.972140312194824,-6.827498912811279,-5.969626426696777,0.0,0.0,0.0,0.0,0.0
25,C,sentential_negation,-8.803943634033203,-8.171085357666016,-7.092201232910156,-8.27118968963623,-7.353555202484131,-9.152026176452637,-8.542654991149902,-7.291548728942871,-8.312702178955078,-7.177075386047363,0.3480825424194336,0.3715696334838867,0.19934749603271484,0.041512489318847656,-0.17647981643676758
26,A,no_subject,-4.213021278381348,-4.347090721130371,-3.6803336143493652,-3.505350112915039,-4.144327163696289,-4.213021278381348,-4.347090721130371,-3.6803336143493652,-3.505350112915039,-4.144327163696289,0.0,0.0,0.0,0.0,0.0
26,B,no_subject,-5.225656032562256,-4.56270694732666,-5.509162902832031,-4.561973571777344,-5.361066818237305,-5.225656032562256,-4.56270694732666,-5.509162902832031,-4.561973571777344,-5.361066818237305,0.0,0.0,0.0,0.0,0.0
26,C,no_subject,-8.929569244384766,-9.036044120788574,-7.870641708374023,-6.986788749694824,-6.733187675476074,-8.929569244384766,-9.036044120788574,-7.870641708374023,-6.986788749694824,-6.733187675476074,0.0,0.0,0.0,0.0,0.0
27,A,no_subject,-3.7119879722595215,-4.269986152648926,-3.837494373321533,-4.766949653625488,-3.7027742862701416,-3.7119879722595215,-4.269986152648926,-3.837494373321533,-4.766949653625488,-3.7027742862701416,0.0,0.0,0.0,0.0,0.0
27,B,no_subject,-4.535613536834717,-4.910731315612793,-5.945471286773682,-5.338265419006348,-6.61525821685791,-4.535613536834717,-4.910731315612793,-5.945471286773682,-5.338265419006348,-6.61525821685791,0.0,0.0,0.0,0.0,0.0
27,C,no_subject,-10.335160255432129,-9.923160552978516,-10.41901683807373,-9.820337295532227,-8.340591430664062,-10.335160255432129,-9.923160552978516,-10.41901683807373,-9.820337295532227,-8.340591430664062,0.0,0.0,0.0,0.0,0.0
28,A,no_subject,-3.641632080078125,-4.02574348449707,-3.9516429901123047,-3.9081132411956787,-3.5158331394195557,-3.641632080078125,-4.02574348449707,-3.9516429901123047,-3.9081132411956787,-3.5158331394195557,0.0,0.0,0.0,0.0,0.0
28,B,no_subject,-6.3037495613098145,-5.579082012176514,-6.14321756362915,-5.818024635314941,-5.520606994628906,-6.3037495613098145,-5.579082012176514,-6.14321756362915,-5.818024635314941,-5.520606994628906,0.0,0.0,0.0,0.0,0.0
28,C,no_subject,-8.708015441894531,-8.417191505432129,-9.50885009765625,-8.94950008392334,-6.323774814605713,-8.708015441894531,-8.417191505432129,-9.50885009765625,-8.94950008392334,-6.323774814605713,0.0,0.0,0.0,0.0,0.0
29,A,no_subject,-3.32102370262146,-3.837575912475586,-3.485868215560913,-3.435636043548584,-4.500781059265137,-3.32102370262146,-3.837575912475586,-3.485868215560913,-3.435636043548584,-4.500781059265137,0.0,0.0,0.0,0.0,0.0
29,B,no_subject,-6.393186569213867,-5.393795013427734,-5.450827121734619,-5.4043402671813965,-6.204712390899658,-6.393186569213867,-5.393795013427734,-5.450827121734619,-5.4043402671813965,-6.204712390899658,0.0,0.0,0.0,0.0,0.0
29,C,no_subject,-11.617488861083984,-11.36892318725586,-9.647324562072754,-9.107748985290527,-8.139457702636719,-11.617488861083984,-11.36892318725586,-9.647324562072754,-9.107748985290527,-8.139457702636719,0.0,0.0,0.0,0.0,0.0
30,A,no_subject,-4.439424991607666,-4.4672393798828125,-4.777186393737793,-4.579507827758789,-4.168733596801758,-4.439424991607666,-4.4672393798828125,-4.777186393737793,-4.579507827758789,-4.168733596801758,0.0,0.0,0.0,0.0,0.0
30,B,no_subject,-8.143594741821289,-6.913104057312012,-10.19013500213623,-11.006104469299316,-7.139286994934082,-8.143594741821289,-6.913104057312012,-10.19013500213623,-11.006104469299316,-7.139286994934082,0.0,0.0,0.0,0.0,0.0
30,C,no_subject,-14.008058547973633,-13.323753356933594,-13.534083366394043,-13.130906105041504,-10.698812484741211,-14.008058547973633,-13.323753356933594,-13.534083366394043,-13.130906105041504,-10.698812484741211,0.0,0.0,0.0,0.0,0.0
31,A,no_subject,-3.202890157699585,-2.911736488342285,-3.1021525859832764,-2.519202709197998,-3.5873427391052246,-3.202890157699585,-2.911736488342285,-3.1021525859832764,-2.519202709197998,-3.5873427391052246,0.0,0.0,0.0,0.0,0.0
31,B,no_subject,-4.602944374084473,-4.669184684753418,-3.8311853408813477,-4.467039108276367,-5.032279014587402,-4.602944374084473,-4.669184684753418,-3.8311853408813477,-4.467039108276367,-5.032279014587402,0.0,0.0,0.0,0.0,0.0
31,C,no_subject,-11.606685638427734,-12.265524864196777,-12.17039966583252,-11.488195419311523,-11.024532318115234,-11.606685638427734,-12.265524864196777,-12.17039966583252,-11.488195419311523,-11.024532318115234,0.0,0.0,0.0,0.0,0.0
32,A,no_subject,-2.261044502258301,-2.4364192485809326,-2.3234007358551025,-2.6539549827575684,-2.8224105834960938,-2.261044502258301,-2.4364192485809326,-2.3234007358551025,-2.6539549827575684,-2.8224105834960938,0.0,0.0,0.0,0.0,0.0
32,B,no_subject,-5.158158302307129,-5.041630744934082,-5.505128383636475,-5.487637996673584,-6.149717330932617,-5.158158302307129,-5.041630744934082,-5.505128383636475,-5.487637996673584,-6.149717330932617,0.0,0.0,0.0,0.0,0.0
32,C,no_subject,-11.929020881652832,-10.758955001831055,-10.927660942077637,-10.558995246887207,-7.8919358253479,-11.929020881652832,-10.758955001831055,-10.927660942077637,-10.558995246887207,-7.8919358253479,0.0,0.0,0.0,0.0,0.0
33,A,no_subject,-2.4405417442321777,-2.2286524772644043,-2.0673017501831055,-2.270458459854126,-2.456345796585083,-2.4405417442321777,-2.2286524772644043,-2.0673017501831055,-2.270458459854126,-2.456345796585083,0.0,0.0,0.0,0.0,0.0
33,B,no_subject,-6.421178817749023,-8.04611873626709,-8.377612113952637,-8.256256103515625,-7.139291763305664,-6.421178817749023,-8.04611873626709,-8.377612113952637,-8.256256103515625,-7.139291763305664,0.0,0.0,0.0,0.0,0.0
33,C,no_subject,-11.97573184967041,-11.283857345581055,-11.233720779418945,-9.781058311462402,-10.277105331420898,-11.97573184967041,-11.283857345581055,-11.233720779418945,-9.781058311462402,-10.277105331420898,0.0,0.0,0.0,0.0,0.0
34,A,no_subject,-2.455625057220459,-2.2346553802490234,-2.1557178497314453,-2.213615894317627,-3.516815423965454,-2.455625057220459,-2.2346553802490234,-2.1557178497314453,-2.213615894317627,-3.516815423965454,0.0,0.0,0.0,0.0,0.0
34,B,no_subject,-6.174337863922119,-7.3537702560424805,-7.026978492736816,-6.834148406982422,-5.159154415130615,-6.174337863922119,-7.3537702560424805,-7.026978492736816,-6.834148406982422,-5.159154415130615,0.0,0.0,0.0,0.0,0.0
34,C,no_subject,-9.736205101013184,-9.079727172851562,-8.266878128051758,-8.192492485046387,-7.6560516357421875,-9.736205101013184,-9.079727172851562,-8.266878128051758,-8.192492485046387,-7.6560516357421875,0.0,0.0,0.0,0.0,0.0
35,A,no_subject,-1.2908227443695068,-1.2595694065093994,-1.230881929397583,-1.921883463859558,-2.1219394207000732,-1.2908227443695068,-1.2595694065093994,-1.230881929397583,-1.921883463859558,-2.1219394207000732,0.0,0.0,0.0,0.0,0.0
35,B,no_subject,-7.809593200683594,-7.198946952819824,-8.166587829589844,-8.437728881835938,-6.767181396484375,-7.809593200683594,-7.198946952819824,-8.166587829589844,-8.437728881835938,-6.767181396484375,0.0,0.0,0.0,0.0,0.0
35,C,no_subject,-10.034271240234375,-9.708312034606934,-10.267422676086426,-10.738039016723633,-9.302227020263672,-10.034271240234375,-9.708312034606934,-10.267422676086426,-10.738039016723633,-9.302227020263672,0.0,0.0,0.0,0.0,0.0
