layer,feature_idx,mean_A_hold,mean_B_hold,mean_C_hold,t_AvB_hold,p_AvB_hold,t_AvC_hold,p_AvC_hold,t_BvC_hold,p_BvC_hold,pattern
16,8447,0.0,4.726813,0.0,-4.020384834716671,0.0030163129142908025,,,4.020384834716671,0.0030163129142908025,INVERSE
16,54634,33.273003,16.74414,31.042654,5.366875985577169,0.00014721747366420605,1.0867871085578586,0.29231071874815984,-4.409951945785495,0.0005578200776881167,PARTIAL
16,24493,2.827658,0.0,0.0,2.3106573258384393,0.046186783853933634,2.3106573258384393,0.046186783853933634,,,SCOPE_SPECIFIC
16,41628,4.0008764,0.0,0.0,2.996088421257734,0.015051538126619359,2.996088421257734,0.015051538126619359,,,SCOPE_SPECIFIC
16,42095,5.9717326,0.3668675,3.7780023,11.012336744353862,2.0191086328438965e-09,2.3617758285514254,0.03601520002409089,-3.65104206787727,0.003245221188110758,NEGATION_GRADED
16,42575,1.113026,8.124438,2.0310397,-3.3962761406399298,0.005308858489615726,-0.8005610763538199,0.4338537117871414,2.9281838985517603,0.012358579407873629,INVERSE
16,29344,0.0,15.489916,0.0,-4.388431000945842,0.0017495381305516191,,,4.388431000945842,0.0017495381305516191,INVERSE
16,36784,0.87964314,3.8352935,3.1059527,-1.9857965941696072,0.0699808594868851,-1.7644305809467122,0.10005984617922603,0.41304339230819714,0.6846466314599573,WEAK
16,33076,0.0,0.0,4.46165,,,-4.193053774836021,0.0023305470839072445,-4.193053774836021,0.0023305470839072445,INVERSE
16,53197,0.0,0.0,4.471278,,,-3.0951957405074553,0.01282148144658952,-3.0951957405074553,0.01282148144658952,INVERSE
18,34114,31.499994,1.8588817,0.4509867,19.302013757860927,9.562560746099738e-13,30.673921854254075,1.1648986932378167e-13,1.0672030646723816,0.3080715968501644,SCOPE_SPECIFIC
18,58182,15.472937,0.0,1.3827837,11.288855851565739,1.2933723255923982e-06,9.14366723330449,3.866902263304262e-07,-1.9635165464404436,0.08118418199081613,SCOPE_SPECIFIC
18,10451,7.310113,0.0,1.0173961,4.43429890100941,0.0016369394343244206,3.5283134459096375,0.004168870718823514,-1.4949389476537451,0.1691420439627814,SCOPE_SPECIFIC
18,21514,3.5123715,0.0,0.0,2.0961243689246283,0.06552908217457917,2.0961243689246283,0.06552908217457917,,,WEAK
18,55045,0.0,15.038727,0.0,-4.156466307249661,0.0024606049155473843,,,4.156466307249661,0.0024606049155473843,INVERSE
18,9736,0.45678797,0.0,0.0,1.0000000987362936,0.34343635089087704,1.0000000987362936,0.34343635089087704,,,WEAK
18,30313,0.0,0.0,18.004532,,,-4.083872198386082,0.0027420681506801783,-4.083872198386082,0.0027420681506801783,INVERSE
18,17880,39.71626,17.897396,37.303505,5.159473833062953,0.00042217731461527625,0.8984812938874992,0.3870149256069094,-4.032284602404454,0.0011064411006077497,PARTIAL
18,29597,2.595779,0.0,0.0,2.333974622160413,0.04445682429419149,2.333974622160413,0.04445682429419149,,,SCOPE_SPECIFIC
18,13149,0.46235704,20.064482,0.0,-3.6431038049207025,0.005243755964883702,1.0000000409833476,0.343436377356825,3.7428782357258785,0.004604992537662494,INVERSE
18,54003,0.0,0.65697306,2.0605094,-0.9999999415457368,0.3434364229252507,-1.8286814853273379,0.10070622114428252,-1.0760734676227597,0.2994911157279155,WEAK
18,17973,0.0,2.5764148,0.0,-1.8239893104614417,0.10145906392988635,,,1.8239893104614417,0.10145906392988635,WEAK
18,24773,5.8423796,0.49197426,5.5711718,3.6119873165392162,0.0039706100622089345,0.13920945167887452,0.8908316278916597,-3.5172814086675017,0.004619417554043897,PARTIAL
18,889,0.0,2.9114962,0.0,-2.3374172160391495,0.04420688314768273,,,2.3374172160391495,0.04420688314768273,INVERSE
18,7103,0.0,3.0595486,0.42673382,-2.8435548250088494,0.019290950179849643,-0.9999999313830505,0.34343642758241855,2.2745841356319834,0.042499913914622246,INVERSE
